datestart,ADBE,ADP,ADSK,AKAM,ALTR,ALXN,AMAT,AMGN,AMZN,APOL,ATVI,BBBY,BIDU,BIIB,BMC,BRCM,CA,CELG,CERN,CHKP,CHRW,CMCSA,COST,CSCO,CTRP,CTSH,CTXS,DELL,DLTR,DTV,EA,EBAY,ESRX,EXPE,FAST,FFIV,FISV,FLEX,FLIR,FSLR,GILD,GMCR,GRMN,HSIC,ILMN,INFY,INTU,ISRG,JOY,KLAC,LIFE,LINTA,LLTC,LRCX,MAT,MCHP,MRVL,MU,MXIM,MYL,NFLX,NIHD,NTAP,NVDA,NWSA,ORCL,PAYX,PCAR,PCLN,QCOM,ROST,SBUX,SHLD,SIAL,SIRI,SNDK,SPLS,SRCL,STX,SYMC,TEVA,URBN,VMED,VOD,VRSN,VRTX,WCRX,WFM,WYNN,XLNX,XRAY,YHOO
8-Jan-13,14556,2,718,86,1689,6,9,177,86514,287,463,0,140,16,6,687,3,167,219,9,3,2601,2476,3630,1,70,477,23461,331,1707,312,26277,18,615,41,24,22,26,3,208,21,28,1848,4,444,89,243,3,32,4,94,22,2,2,388,3,6,12,2,68,25576,2,409,7761,72,3298,21,25,398,9917,8,44440,377,1,26,896,1706,33,56,402,7,1417,259,3874,6,4,3,1443,17,21,7,42092
9-Jan-13,8774,1,362,90,1364,3,4,68,77799,149,445,1,1017,7,2,371,5,75,215,3,6,2594,2409,3247,1,121,517,21664,581,3229,304,24649,69,1187,20,2,25,45,4,327,30,54,1409,5,397,97,217,8,2,3,46,189,5,0,328,2,13,4,7,52,35112,1,348,5023,430,3963,44,17,979,3806,33,51181,122,2,110,747,1738,22,14,246,26,1207,238,4740,15,1,9,1559,2,16,6,46161
10-Jan-13,5973,4,391,43,1409,2,7,28,91130,23,971,4,328,13,14,187,13,41,204,1,5,2102,2283,3748,5,128,431,30063,440,2481,223,31138,58,325,37,8,45,36,2,176,27,39,1243,55,230,169,253,4,8,9,45,46,5,2,426,4,1,56,4,47,23978,2,166,3145,259,3563,10,32,971,1753,8,47193,45,2,145,798,2061,8,25,297,14,1198,215,3713,12,2,2,1498,8,8,61,40041
11-Jan-13,5805,7,314,82,1948,7,2,66,77073,30,764,2,406,16,25,236,6,11,187,0,7,2461,2756,3231,2,126,283,18873,572,1859,219,25320,86,326,44,1,37,14,5,115,7,61,1326,8,287,775,226,1,4,1,76,23,5,1,471,2,10,22,3,48,22729,2,251,3145,97,4512,21,23,335,1250,13,50051,36,0,28,789,1812,9,9,198,1,1192,395,6070,25,4,9,1901,11,52,1,40098
14-Jan-13,5076,0,360,43,1535,3,26,59,79985,8,291,0,1599,9,23,153,5,21,202,4,4,1981,1883,3312,3,104,452,34772,458,1520,137,42941,72,312,14,4,133,33,1,45,9,59,1325,3,194,231,201,5,5,1,13,17,14,4,373,2,1,9,7,41,26078,1,223,1525,412,11612,13,23,186,441,3,64526,48,1,25,667,2013,7,2,222,2,993,1430,4902,19,4,2,1316,4,30,2,40388
15-Jan-13,4876,6,412,58,1607,1,6,95,76879,22,373,1,934,14,10,43,6,68,220,1,2,2312,1884,2733,1,82,506,29092,411,1980,140,49115,94,294,22,5,136,25,2,29,7,100,1261,16,234,110,217,4,9,7,32,79,18,2,441,3,1,22,6,79,20682,1,317,1300,219,5597,21,20,129,509,5,56099,45,2,36,477,2286,6,52,384,4,1094,1058,5642,51,8,5,1572,5,12,11,46809
16-Jan-13,10516,9,478,42,1759,7,7,222,82723,19,532,0,293,60,10,110,2,16,246,1,0,2700,2406,3898,1,112,391,24315,482,2804,225,36080,64,1982,46,2,78,29,1,91,1,114,1211,9,239,122,250,4,9,1,29,7,12,10,426,3,1,8,7,49,33146,1,387,2893,1384,5103,22,17,143,588,15,57581,26,0,32,632,1858,9,12,456,0,1174,619,3311,25,4,0,5145,5,24,5,41961
17-Jan-13,8074,4,382,96,1614,6,6,145,83912,5,337,0,342,13,8,62,4,7,224,2,2,1998,2006,4640,2,94,412,23081,620,1896,153,30069,62,573,95,6,59,39,3,83,1,118,1267,13,222,164,315,5,7,5,29,3,2,3,593,3,2,9,7,65,21950,1,280,1461,655,3672,16,11,100,774,7,51619,30,0,38,597,2520,5,10,424,1,1371,1124,4189,23,2,3,4745,0,122,2,43236
18-Jan-13,5705,1,309,63,1913,15,17,69,79408,29,569,0,262,11,9,46,2,21,212,0,4,2193,2823,3005,1,94,261,21493,565,1769,222,33651,49,3856,48,18,30,19,9,307,9,37,1110,4,212,88,278,22,1,12,146,130,3,2,448,4,1,28,11,84,27934,0,272,1208,43,3794,22,11,110,374,8,54764,43,1,45,726,2808,14,11,333,1,1427,882,3710,55,4,0,6727,4,33,1,37158
21-Jan-13,4509,3,305,67,1696,3,7,98,73340,3,308,3,418,4,17,42,1,10,407,1,6,1964,2586,2679,0,105,402,20506,511,2242,262,31080,8,349,19,7,35,25,2,43,1,38,1258,6,572,57,185,10,1,6,26,6,2,1,412,2,4,16,13,59,26991,3,154,1544,358,3480,25,17,90,328,27,57122,58,0,35,644,3916,11,3,284,4,6449,721,3197,5,5,7,1974,1,33,1,35372
22-Jan-13,5187,7,486,190,1301,4,12,222,86458,0,675,0,468,7,14,62,18,17,228,2,1,1728,2045,3021,1,101,367,31511,410,1425,324,29180,57,396,17,14,53,25,5,71,9,25,1347,14,267,88,382,89,6,8,68,89,2,4,490,1,1,17,4,51,18566,1,210,1529,371,7165,18,34,193,2180,6,54123,16,3,104,718,3381,7,10,604,7,1607,425,3848,19,5,0,1680,5,23,3,40416
23-Jan-13,4741,1,461,474,2991,19,6,524,78214,5,688,0,462,32,29,54,12,224,247,86,1,2154,2253,5287,2,99,431,25891,455,2531,294,32714,8,1170,12,204,62,34,4,47,6,71,1571,9,401,231,586,67,21,14,39,23,1,34,377,4,3,18,13,92,27750,2,385,1281,57,3773,23,22,125,617,9,58507,15,8,104,763,2428,3,4,1368,12,1367,557,4197,13,5,2,1793,3,12,6,39498
24-Jan-13,5672,2,453,1303,1682,4,13,255,84606,2,342,0,262,145,11,98,11,112,179,2,5,1909,1952,4105,1,87,459,24779,359,1880,229,29013,61,677,19,34,58,57,5,49,7,85,1318,9,186,131,338,25,11,38,50,10,4,2,618,11,3,7,15,47,26308,0,766,3089,101,3648,22,16,88,349,18,51978,34,0,36,587,3875,8,5,1096,3,1048,967,4033,55,5,2,1568,7,12,6,42220
25-Jan-13,5067,8,528,244,1535,14,5,241,84274,14,250,0,240,43,9,202,1,37,211,25,2,2122,2503,6155,6,116,319,20901,453,1702,327,25790,33,258,162,6,49,24,0,92,6,59,1316,12,245,90,473,5,1,52,28,13,6,2,533,5,6,6,11,70,27197,0,540,3099,135,3430,18,29,86,864,6,56555,16,2,22,537,2685,3,14,478,1,2925,661,3957,56,5,0,1915,16,51,3,44121
28-Jan-13,4142,10,364,120,1937,8,0,225,87747,6,380,1,267,208,58,110,3,30,224,8,2,1662,1783,3790,2,285,460,22244,444,1567,372,27139,27,355,31,8,39,21,2,38,22,88,1204,11,193,134,475,7,4,3,13,3,4,1,587,4,0,4,12,60,22263,10,391,3226,564,4188,22,24,117,537,1,47935,29,3,28,623,2177,8,71,408,0,1066,655,4059,47,8,3,1599,29,20,2,41741
29-Jan-13,5047,3,403,183,2112,5,3,355,99822,113,389,0,638,20,38,207,3,2,231,4,1,1815,1902,4958,2,114,430,23636,493,2214,335,27454,20,344,21,11,42,34,2,38,3,30,1205,7,176,211,381,4,2,8,40,4,7,3,512,13,0,6,8,78,18989,1,395,1680,189,4474,25,39,100,317,9,53720,51,3,31,583,1839,5,24,357,0,1191,1092,4988,11,15,2,1622,8,31,1,49105
30-Jan-13,5468,10,421,109,1986,3,18,153,95506,7,453,0,305,23,17,113,2,13,184,0,2,2235,1995,4069,4,109,582,22730,284,13395,407,27810,16,1158,34,12,25,31,6,29,13,50,1366,17,271,161,415,9,5,7,68,16,5,1,790,1,1,8,3,61,21683,0,323,2600,77,2889,30,24,96,1917,19,54625,13,1,58,785,2171,5,17,443,3,1071,682,4655,24,6,8,1725,1,68,6,43908
31-Jan-13,4662,1,363,77,1550,2,30,189,75929,1,260,1,198,8,30,125,1,2,169,2,5,1647,2046,3878,10,81,387,19346,350,1502,1133,23320,19,383,17,18,29,16,4,91,33,37,1308,9,241,74,297,13,7,0,73,5,1,2,551,4,4,2,4,42,15847,0,254,2587,103,3321,14,77,157,1300,4,41184,25,0,32,452,1579,3,8,1246,25,1051,289,3732,13,14,12,1426,94,16,7,35447
1-Feb-13,4387,1,385,91,1749,3,3,110,80131,30,1037,3,347,13,7,161,1,17,188,1,2,1855,2939,3615,81,102,387,24717,414,2056,385,25745,16,358,55,26,37,33,9,99,29,35,1358,20,344,69,287,8,6,6,39,5,14,1,928,3,7,7,1,62,28566,3,310,3679,1248,4697,21,45,94,1392,3,50020,24,1,29,556,2142,0,5,792,2,1189,310,2907,13,4,2,2138,38,8,2,37159
4-Feb-13,5614,0,442,66,1478,15,50,79,91660,6,323,0,785,7,16,80,0,46,254,1,2,1530,2061,3463,9,123,336,27236,414,1893,416,25045,50,494,13,14,24,26,6,123,114,25,1232,13,1306,72,383,8,4,6,25,0,2,1,1663,7,8,4,2,84,27390,2,277,1488,607,11269,16,23,85,610,10,44238,48,4,45,1229,1874,10,7,270,1,923,378,4946,20,1,18,1513,94,6,8,37592
5-Feb-13,4775,21,413,99,1886,0,1,83,101659,4,1446,0,579,6,20,77,5,14,266,0,6,1853,1874,3811,36,109,386,82749,353,1543,550,26771,86,634,21,24,38,24,3,47,44,42,1160,6,272,72,199,2,2,0,45,37,0,1,629,5,2,20,5,55,26112,20,249,2579,154,5678,16,28,104,310,21,47926,24,0,140,753,1795,6,2,429,1,1036,2286,3347,11,2,37,1351,22,15,5,40840
6-Feb-13,5064,9,364,245,2335,6,8,114,90807,1,1001,0,517,245,4,59,5,20,359,3,27,2785,2260,5327,1,100,556,36340,455,2569,424,29903,44,1423,39,8,54,22,4,94,12,158,1632,7,247,97,223,13,1,7,23,34,1,4,505,7,3,7,4,83,21369,5,294,1605,1149,4136,21,25,106,362,9,51745,86,4,54,684,1973,16,4,1796,11,1115,4485,3987,17,2,8,1823,7,10,4,40220
7-Feb-13,4796,5,532,305,1611,16,14,400,84671,7,2076,0,789,30,11,73,4,18,200,1,5,1740,2505,4399,31,442,418,27484,386,1317,309,30637,70,533,30,6,35,23,43,53,14,138,1167,14,249,81,229,5,1,11,46,7,2,5,491,15,3,25,7,81,16915,6,415,1538,523,3201,16,26,79,526,21,54521,36,25,23,578,2100,12,3,3509,30,858,897,5281,13,2,13,1608,3,10,6,45522
8-Feb-13,7567,4,290,94,1604,8,8,194,91658,4,2654,1,245,42,4,70,2,318,240,2,12,2203,3363,2733,3,94,311,24022,568,1534,596,26459,43,403,22,8,36,31,15,13,54,42,1176,5,244,59,234,2,3,7,32,2,1,0,768,18,8,14,2,57,41313,7,241,1527,226,2899,33,17,96,923,23,64428,50,1,23,659,2158,12,2,723,12,1071,570,4978,7,0,41,2652,3,12,5,39402
11-Feb-13,7269,1,301,51,1465,8,19,349,84462,4,735,0,267,7,5,72,0,310,223,0,8,2025,2506,2800,4,114,366,26310,691,1248,381,25491,12,396,19,183,37,12,3,70,44,51,1535,6,306,58,207,0,0,5,32,7,1,2,660,6,5,15,7,101,22406,13,212,1810,63,3520,33,10,89,354,16,50719,16,10,36,656,3834,9,3,496,1,1479,721,4806,21,3,7,1330,10,19,12,35940
13-Feb-13,10863,12,1047,116,1405,9,118,184,98037,29,518,1,180,10,8,240,26,34,208,1,3,6113,2373,5186,1,196,479,25630,761,1891,519,25623,30,1574,24,33,47,34,12,17,6,32,1299,26,340,114,226,8,8,6,28,7,7,4,551,4,1,9,1,107,18983,5,549,2954,154,4448,45,24,64,737,3,49728,22,9,20,702,4006,3,7,583,4,890,4643,6016,22,5,9,1874,0,15,6,41088
14-Feb-13,15309,7,1842,66,1354,28,77,109,99763,1,366,0,271,13,3,69,1,41,202,3,1,2249,2212,4255,1,102,386,23119,1012,2200,418,22407,30,276,19,29,22,324,6,48,3,33,1243,16,316,135,532,4,6,1,35,5,4,3,587,3,2,13,8,170,15935,1,394,2469,50,3725,31,24,86,1162,10,71425,34,2,17,461,2451,4,2,459,16,672,1419,4574,43,1,4,1672,1,13,6,36722
15-Feb-13,9268,6,639,84,1433,19,11,113,85037,1,403,0,277,25,7,84,5,41,158,1,4,1855,3540,3885,0,147,407,22290,604,1532,795,22474,52,364,23,4,47,61,3,68,3,45,1752,11,341,95,227,10,28,6,59,0,0,0,423,4,1,26,4,226,18223,3,251,2257,841,3714,23,31,81,1277,13,46248,45,1,21,495,3288,13,8,452,3,1183,580,3843,36,1,4,1530,8,14,12,41374
18-Feb-13,5704,5,343,96,1432,1,6,55,92332,5,1481,0,552,5,25,56,5,11,249,1,2,2542,2975,2547,2,120,354,23405,359,1418,416,29162,130,336,45,12,58,21,3,44,19,48,1348,42,253,166,198,4,3,7,20,1,1,1,500,24,1,6,9,84,24506,0,197,1614,97,3027,36,17,73,734,30,57789,20,2,10,567,3191,13,3,342,3,1681,399,4951,11,1,4,1639,3,21,3,39945
19-Feb-13,5619,6,438,96,1627,20,4,157,96908,2,1022,0,874,18,20,67,4,14,221,1,4,2703,2196,3766,4,76,452,26242,277,1797,475,27110,216,271,49,80,59,7,3,105,93,95,1165,10,342,268,207,8,11,1,29,4,5,0,389,4,6,10,11,62,20389,2,702,12040,58,3700,20,16,85,990,11,53734,56,1,24,598,3801,4,8,368,3,1046,352,4955,24,2,2,1705,4,103,6,44589
20-Feb-13,8126,3,785,83,1726,7,6,114,92298,4,783,2,624,22,23,133,3,101,203,3,3,3488,2100,3166,0,116,1048,26127,328,2975,329,26974,121,1369,36,16,70,20,14,54,37,95,2163,16,710,430,716,11,29,4,72,1,1,2,640,6,3,5,11,89,17353,9,617,3445,20,5445,11,16,93,2789,17,56401,27,0,17,668,4482,13,9,432,24,1150,390,5320,9,8,2,1642,29,25,31,57505
21-Feb-13,6752,3,348,47,4227,7,9,56,83893,12,520,0,526,10,18,83,1,17,159,0,1,3031,3515,3027,11,104,626,19158,443,2967,460,27185,12,711,35,12,35,19,0,37,6,41,1133,7,239,325,373,15,7,5,9,6,2,5,458,1,277,7,3,56,36446,1,484,4360,32,4274,12,15,106,1721,24,63063,30,3,18,569,3275,7,14,549,1,1443,372,3229,17,1,6,2319,251,26,25,44563
22-Feb-13,6132,6,624,69,2607,8,17,122,89672,19,521,0,424,4,9,70,3,6,238,0,4,2153,2957,2610,1,103,491,22031,313,1856,336,25570,50,605,41,6,37,23,3,54,8,31,1254,10,267,156,300,48,4,3,22,3,1,2,597,1,37,7,6,108,26807,0,220,3295,103,3803,23,14,82,3737,40,85418,8,0,34,521,4468,9,0,375,3,1386,280,4843,14,8,40,2339,60,28,10,40654
25-Feb-13,5500,6,544,139,2235,11,8,145,84499,23,493,0,507,9,10,252,4,20,281,2,8,2407,2265,3080,1,90,525,32719,467,1706,176,33359,49,1589,29,24,33,22,3,51,16,21,1423,12,431,96,260,4,22,11,4,5,2,1,505,15,3,14,15,84,27322,3,317,3054,159,3199,35,15,89,3432,14,59473,28,4,36,732,2500,10,1,367,1,1205,690,5000,14,4,11,1802,5,23,13,50137
26-Feb-13,6841,3,945,129,2610,4,105,546,89793,52,340,0,583,17,5,150,1,16,362,5,4,2877,1774,3973,1,109,490,25152,274,4316,260,30395,77,542,31,28,48,43,2,271,21,34,1460,15,237,56,225,5,10,9,28,9,1,9,964,8,2,25,4,69,20434,2,264,3097,43,3841,9,20,616,1934,8,61827,13,2,29,1084,3445,2,6,1389,2,946,414,6215,29,8,8,1495,34,56,6,56745
27-Feb-13,18791,2,708,129,2869,3,39,548,105829,5,425,46,785,38,11,128,4,28,386,5,1,4275,2548,4062,2,115,500,23645,670,3439,1054,39273,23,1862,40,13,27,34,6,588,6,65,1463,21,272,57,301,5,72,1,26,109,7,13,586,4,11,29,5,730,26986,9,298,3507,183,4696,64,24,454,2964,12,71118,23,1,34,818,2395,19,8,882,2,1954,463,4945,45,16,5,2500,10,33,9,62606
28-Feb-13,8056,1,377,133,2449,15,12,122,85082,14,1695,23,523,14,14,104,2,22,268,4,10,3412,2647,3627,2,115,380,20982,440,1785,799,32171,28,352,29,21,37,28,5,116,7,130,1890,41,287,217,366,130,17,7,42,10,2,1,475,1,3,14,19,214,19249,20,215,1793,84,3393,38,7,171,779,13,61140,99,9,21,464,3371,18,4,398,2,2365,338,4206,23,6,3,1902,9,37,4,45172
1-Mar-13,7354,4,434,112,2196,8,25,122,84772,7,430,0,428,21,15,51,7,11,216,3,2,2147,2628,2683,0,101,445,20506,412,2098,463,28146,54,456,20,9,26,10,4,70,43,82,1528,26,345,83,367,107,7,10,45,49,2,0,483,6,4,18,7,75,18808,7,361,1684,682,3111,27,15,128,534,44,58961,51,1,31,621,2038,2,3,383,5,1406,471,4495,17,14,0,1822,5,36,7,46082
4-Mar-13,5987,7,397,96,1758,9,4,76,83986,11,1636,1,278,61,17,72,2,158,840,9,4,2639,2002,3602,0,143,402,23718,461,2638,304,31515,47,421,18,9,76,15,17,85,38,82,1293,4,254,234,716,12,13,6,40,25,3,1,462,6,2,22,6,68,19742,5,269,1346,231,4364,16,11,116,499,35,53716,24,1,26,509,2922,20,22,279,10,1132,332,4832,35,22,7,1833,19,29,7,45741
5-Mar-13,6792,11,495,74,2084,13,28,61,117271,26,789,0,442,22,25,68,3,109,511,1,9,2760,2636,3394,1,155,659,25980,417,3091,681,32778,110,820,35,34,115,27,5,110,20,114,1392,14,399,105,311,35,9,3,46,64,1,5,674,3,1,25,4,98,29153,2,488,2395,1335,6456,28,32,241,1859,23,74385,33,15,31,655,2619,12,11,325,2,1653,391,6692,23,9,12,2752,12,58,6,58659
6-Mar-13,7784,8,401,61,2014,15,17,60,77854,11,378,7,242,24,12,47,7,38,326,7,6,2904,3859,3396,3,103,450,26964,655,3460,489,29209,53,1327,20,20,107,14,2,140,13,77,1482,28,355,101,233,11,5,11,29,9,1,1,490,3,4,7,5,67,28246,4,444,1585,2141,3791,25,18,144,486,10,71184,11,5,28,490,4274,3,5,279,6,2204,301,5535,15,8,13,2827,24,30,4,46551
7-Mar-13,8564,7,407,66,2015,8,11,297,82906,3,455,5,246,12,12,36,4,41,284,2,2,1989,3123,3238,3,97,764,27696,384,2140,1397,27559,51,533,38,11,141,29,3,63,7,76,1204,9,271,151,493,5,3,1,20,1,2,0,503,3,3,12,3,64,17190,1,496,2398,477,3730,40,20,114,328,63,59485,6,4,27,504,2143,5,8,313,18,1269,384,4441,22,6,3,1961,12,41,4,48023
8-Mar-13,5384,77,560,43,1477,11,15,119,79242,5,422,1,309,11,5,71,18,42,246,4,1,1861,3083,2816,4,92,328,22813,388,2292,1033,26790,51,306,14,14,35,21,1,54,5,52,1015,16,378,79,364,6,3,10,28,9,5,2,460,10,1,6,2,93,25166,0,282,2227,1867,3416,27,20,126,1003,26,61994,8,0,28,686,2138,13,5,326,0,1150,282,3534,10,5,4,5869,11,18,15,44071
11-Mar-13,5427,5,461,90,1836,18,17,44,89446,3,327,2,582,16,5,114,1,15,241,8,0,1637,2589,3658,1,115,368,28274,403,1344,564,27780,16,411,56,13,78,27,3,79,9,44,1229,12,357,396,349,4,3,4,10,6,3,2,791,6,5,8,23,77,22722,1,252,1582,174,3315,16,24,99,497,47,57972,113,1,32,709,2905,20,14,335,4,1325,295,3718,17,9,17,3109,27,20,9,48349
12-Mar-13,5771,5,445,133,1734,9,3,63,80002,7,1010,0,335,77,5,72,3,41,228,0,3,1476,4331,3072,3,112,388,24958,354,1636,320,28602,33,557,23,38,51,29,1,65,18,44,1057,12,296,189,609,17,5,4,122,1,9,1,684,10,4,4,9,68,19728,1,248,1162,106,4035,20,14,260,498,112,54662,211,4,24,536,1747,6,30,326,7,1042,289,3940,21,9,14,2343,2,33,7,47441
13-Mar-13,8760,7,402,82,1979,9,11,45,80061,6,722,0,265,32,5,48,1,7,300,2,3,2365,3643,5158,3,140,491,31172,398,1667,278,29373,54,1221,17,19,39,13,3,40,19,53,983,56,289,115,335,8,1,8,21,3,3,3,707,1,3,18,6,95,30740,0,271,1602,154,5250,34,26,289,869,15,59854,37,4,34,768,2456,6,12,334,11,1442,290,5769,76,2,13,2080,17,13,5,45744
14-Mar-13,6806,2,488,180,1672,23,17,44,78712,5,687,1,518,17,9,55,0,25,260,2,3,2389,2559,3493,2,123,576,23378,476,1668,308,28288,56,579,22,3,51,12,0,22,4,57,910,11,225,217,460,62,164,6,19,26,7,8,780,2,6,11,10,95,22288,1,346,3314,96,3878,56,38,118,288,23,51735,33,2,43,698,1633,4,26,284,7,3002,320,5307,16,1,4,2440,6,21,4,50095
18-Mar-13,5102,2,352,64,1693,3,5,83,91257,2,480,0,314,18,4,74,6,35,224,0,12,1526,2147,3792,1,140,351,23226,295,2036,2685,30855,64,417,21,8,39,13,4,37,21,76,1128,4,245,149,332,68,1,4,26,460,5,2,597,2,3,10,3,101,19387,5,278,2197,113,3779,22,15,87,1723,53,51381,56,0,24,778,2526,9,6,329,5,1548,303,3743,20,2,5,1975,3,11,6,47048
19-Mar-13,8345,8,454,110,2212,6,10,41,88691,22,456,2,300,106,16,78,2,16,247,5,4,1843,2032,4111,2,139,864,23863,322,1473,2516,34178,32,384,17,27,83,21,2,59,3,51,1159,34,209,150,286,15,0,3,65,809,6,4,734,2,7,11,6,65,17969,0,246,7587,65,3632,23,17,136,707,3496,55337,38,4,18,590,2279,9,3,360,3,1227,491,3293,24,5,3,2007,1,31,3,44124
20-Mar-13,11801,1,460,68,12721,4,15,374,104635,2,495,3,396,189,2,73,2,7,222,0,1,2332,2382,3855,2,122,758,21004,456,1509,775,28923,57,1473,40,17,30,23,13,104,7,100,1412,22,224,86,305,13,6,12,16,46,8,1,687,1,3,8,2,54,19092,1,508,6147,214,6451,36,54,126,493,20,53845,50,0,25,484,1853,9,13,450,28,1243,282,3746,8,6,4,2542,6,24,8,49948
21-Mar-13,5361,5,352,75,5480,9,22,132,88844,10,602,0,193,18,1034,94,4,99,216,2,2,2216,2464,3744,1,141,471,23699,366,1833,411,26193,40,507,21,4,91,17,4,122,3,61,2383,8,317,100,397,72,1,2,60,9,2,2,792,1,0,138,5,57,18474,5,327,3405,145,8183,30,34,162,473,82,60901,46,2,29,397,2316,6,19,514,9,1225,517,3294,11,7,9,2572,15,20,11,50128
22-Mar-13,5025,0,387,51,2972,20,13,67,77993,9,610,22,165,96,56,43,3,33,189,2,2,3302,2726,2886,0,110,397,21477,413,2486,171,24571,26,568,37,4,28,33,4,23,12,51,1282,12,349,66,230,23,1,1,34,19,1,2,685,1,11,123,6,42,19583,3,224,2476,129,3364,47,50,196,536,48,67133,59,7,20,435,1880,5,10,399,1,2279,359,4024,10,4,3,1718,1,14,10,39334
28-Mar-13,5152,0,776,107,1778,34,55,200,93951,13,3510,0,325,236,13,91,4,23,312,1,2,2671,2585,4072,10,128,751,21653,376,1203,521,27507,89,530,26,13,49,41,2,98,13,37,1172,4,345,96,397,14,2,3,29,4,0,1,691,16,1,10,1,46,21004,6,267,1534,153,3898,95,21,158,436,36,59618,32,0,22,438,2158,4,10,310,3,1308,369,4430,18,4,5,1379,36,23,7,43290
29-Mar-13,4749,1,579,103,1632,15,2,55,89560,3,1820,2,386,195,3,76,1,6,310,1,1,2630,4145,2510,19,96,796,22549,501,1477,274,25923,38,981,24,9,38,7,3,63,5,50,1156,10,344,53,308,5,1,8,24,7,1,3,406,4,8,4,2,61,22291,1,203,1637,60,2994,40,13,129,202,80,64843,35,0,33,435,1792,3,3,211,11,1958,267,5019,143,2,3,1626,45,32,1,39621
1-Apr-13,4150,2,548,40,2033,14,4,67,89039,9,653,1,324,50,25,93,0,21,366,2,1,2139,2421,3103,6,110,359,19553,343,1767,222,27392,11,367,36,0,44,6,6,149,37,82,1158,4,172,134,213,8,12,2,23,2,0,1,460,4,5,5,7,63,30329,3,186,3410,114,2742,36,40,212,222,4,49392,13,2,34,523,1623,8,4,299,8,1476,233,3099,28,3,1,1492,4,10,1,60615
2-Apr-13,5243,5,609,54,2647,25,4,69,91079,11,414,0,555,48,13,54,4,32,253,2,0,2220,2161,2599,3,151,544,25767,300,3258,200,27076,39,487,34,20,79,15,1,165,10,55,2147,2,371,146,376,7,4,1,44,3,5,8,428,1,8,11,1,76,27546,0,175,3326,182,3441,21,25,121,293,3676,53833,21,3,36,534,3917,7,11,352,2,1262,275,8365,13,1,5,1588,8,27,1,66688
3-Apr-13,5746,12,621,73,2615,11,16,81,86717,5,1296,10,5016,54,13,104,35,35,283,1,0,2383,2635,4891,5,98,452,23309,461,1890,250,30299,26,1613,40,11,100,9,2,49,18,89,2008,11,294,79,738,4,1,1,27,0,5,11,579,11,4,7,5,65,30103,28,195,1585,272,3737,38,15,159,1038,19,59147,50,1,29,581,4468,0,2,298,0,2555,347,5521,44,12,0,2151,2,83,8,50955
4-Apr-13,7057,5,527,57,5206,4,7,62,81705,11,997,2,2234,45,8,103,9,75,279,13,1,2021,2206,3056,9,136,576,22961,351,1189,273,29525,78,427,21,76,44,10,10,38,10,50,1227,7,269,79,731,8,0,5,29,3,5,2,434,1,1,15,11,315,50043,15,206,1491,118,3107,34,22,117,1468,20,58827,12,5,32,554,2163,10,5,267,3,1855,291,5025,44,4,5,2058,4,26,8,45723
5-Apr-13,4687,3,541,67,2188,10,3,46,82244,13,1161,0,616,34,5,61,7,61,229,0,0,2095,2624,2587,5,133,503,22011,326,1390,422,26345,70,508,26,326,28,14,3,17,4,34,1423,3,276,163,410,14,3,1,35,1,2,3,369,16,1,8,6,73,23957,94,245,1834,36,2827,35,20,108,499,15,53964,51,20,45,362,2605,8,22,265,2,1330,296,3836,14,13,5,1850,6,34,2,46832
8-Apr-13,5112,4,569,77,3258,5,6,51,75994,17,697,0,374,11,13,55,3,21,346,1,3,1772,2216,2781,3,136,395,24294,379,1155,321,25844,58,352,23,20,45,13,1,69,13,27,1298,11,432,173,363,3,0,8,6,7,2,2,579,4,10,15,3,63,24106,18,226,1758,3383,4189,32,31,71,534,25,48805,47,0,37,573,3012,6,3,273,13,994,1383,4623,383,6,9,1638,4,45,30,43218
9-Apr-13,5603,5,613,486,2339,19,16,79,81873,9,578,3,238,10,12,82,1,13,275,4,5,2139,2707,2714,1,153,436,23799,450,2411,1599,27152,40,472,22,24,51,25,3,967,32,68,1118,5,206,79,362,8,0,9,29,10,2,1,532,3,11,13,1,78,19744,4,300,1757,898,6122,32,23,142,342,12,54776,32,1,54,404,3489,6,6,264,2,1655,370,3847,128,8,10,1564,9,36,5,42901
10-Apr-13,6939,12,586,79,3075,11,14,51,84071,24,468,4,738,17,4,70,7,20,251,2,1,2231,2388,2815,1,126,494,20596,423,1997,1114,27141,36,1613,124,17,97,17,7,848,30,58,1557,8,198,87,373,5,5,5,114,14,4,8,545,4,9,30,13,66,26196,45,321,1627,142,4758,42,24,99,411,45,66821,29,2,116,374,2603,9,7,233,1,1119,289,3475,35,7,14,1828,6,22,7,46487
11-Apr-13,5476,3,501,91,2206,13,14,66,74482,5,324,1,370,46,273,128,3,56,262,4,5,2010,2873,2747,2,511,372,21382,309,2125,992,26376,78,703,31,29,137,6,5,361,16,26,1214,5,258,243,576,7,10,6,85,37,5,28,814,2,7,10,7,62,24280,20,307,3666,132,3884,23,39,131,192,213,54086,91,4,39,522,2354,8,18,272,3,3134,368,3845,36,1,6,1481,9,17,9,42935
