datestart,ADBE,ADP,ADSK,AKAM,ALTR,ALXN,AMAT,AMGN,AMZN,APOL,ATVI,BBBY,BIDU,BIIB,BMC,BRCM,CA,CELG,CERN,CHKP,CHRW,CMCSA,COST,CSCO,CTRP,CTSH,CTXS,DELL,DLTR,DTV,EA,EBAY,ESRX,EXPE,FAST,FFIV,FISV,FLEX,FLIR,FSLR,GILD,GMCR,GRMN,HSIC,ILMN,INFY,INTU,ISRG,JOY,KLAC,LIFE,LINTA,LLTC,LRCX,MAT,MCHP,MRVL,MU,MXIM,MYL,NFLX,NIHD,NTAP,NVDA,NWSA,ORCL,PAYX,PCAR,PCLN,QCOM,ROST,SBUX,SHLD,SIAL,SIRI,SNDK,SPLS,SRCL,STX,SYMC,TEVA,URBN,VMED,VOD,VRSN,VRTX,WCRX,WFM,WYNN,XLNX,XRAY,YHOO
6-Aug-12,3974,1,410,68,1274,6,7,28,76219,6,659,0,1753,3,12,38,4,38,138,6,2,3483,2553,2679,0,823,490,35505,368,3164,775,26767,38,398,10,10,123,14,13,169,8,78,1704,7,139,360,209,10,2,0,7,18,3,3,289,18,1,2,3,162,11919,12,153,1943,36,3455,21,21,180,1838,20,42942,13,0,69,848,2541,10,2,358,48,1906,306,3468,31,3,2,1268,5,39,6,35898
7-Aug-12,4476,17,591,298,1673,4,15,164,88398,9,878,0,584,4,21,30,6,22,116,4,2,3026,2522,2594,20,224,421,30139,431,2065,290,25819,154,417,27,3,135,32,1,69,5,35,2340,18,131,584,180,0,5,0,19,30,2,1,1517,10,2,11,4,115,13667,80,207,2021,1218,5468,34,25,677,309,20,40953,39,0,176,751,3183,8,11,507,14,1884,471,3461,26,3,28,1955,5,30,2,35685
9-Aug-12,4918,22,377,1031,1505,4,18,274,80436,14,931,0,226,2,39,37,5,7,118,24,5,3463,3364,2878,6,94,475,23530,426,2806,182,28117,65,393,26,25,35,22,3,63,10,57,1636,12,148,705,157,1,2,0,9,65,3,3,368,1,3,1,2,80,14010,9,274,1843,1031,3699,22,24,233,661,45,43728,42,0,63,840,3466,20,2,330,10,1860,355,3324,20,7,30,1583,9,28,8,38973
10-Aug-12,4144,13,334,248,1828,9,19,150,71916,3,1065,0,308,2,29,81,3,6,139,4,3,3183,3239,2385,0,141,385,17220,396,3024,547,24273,78,373,15,7,21,23,0,58,7,67,1487,8,199,257,174,2,2,0,9,13,0,1,315,0,2,7,5,150,14432,2,250,2085,142,2980,28,15,147,313,24,39049,16,0,53,1038,5965,17,13,361,4,1689,338,2700,32,2,3,1551,1,18,12,40464
14-Aug-12,8412,16,461,58,1537,4,30,74,62121,6,921,0,167,1,17,33,2,19,105,2,4,3015,4403,2519,0,101,399,14981,562,3509,1562,27759,17,324,16,21,16,22,2,33,7,114,1719,5,136,127,323,0,3,0,13,15,2,0,610,19,5,1,9,96,17843,4,227,1331,122,3962,37,14,150,145,13,35891,34,0,33,897,2967,22,3,356,0,2131,638,2963,249,1,0,1805,8,20,3,34568
15-Aug-12,12359,5,307,162,1132,2,438,44,69130,4,750,0,215,47,23,70,7,8,177,5,3,3578,3380,5393,7,57,424,14333,466,3414,601,26106,32,1548,15,40,34,9,1,53,6,42,1659,11,142,147,204,1,13,0,12,81,24,0,526,1,10,1,2,71,17798,8,385,707,743,3753,16,10,1206,161,25,42893,41,0,43,1185,4278,21,5,343,0,1837,618,2877,31,1,6,1410,1,25,7,35657
16-Aug-12,6856,20,460,66,1281,7,80,33,67347,6,603,0,309,46,15,66,2,22,121,6,2,4346,3276,6005,0,81,501,15040,641,2501,1440,27470,33,300,18,10,35,18,3,38,11,39,1628,12,357,250,277,3,3,0,33,31,12,1,1328,7,153,5,22,51,15358,1,315,3965,207,4909,27,14,525,220,106,45935,172,0,136,1011,3086,263,8,397,2,1655,391,3247,22,0,4,1501,6,11,4,35516
17-Aug-12,5599,18,336,60,1265,8,22,70,79648,11,505,0,396,67,7,34,1,23,118,2,3,3441,3536,2691,4,60,342,14309,547,2269,599,28063,36,302,21,4,30,15,7,80,6,37,1727,24,108,160,160,1,9,0,15,114,4,2,977,7,91,8,3,97,12415,6,298,1260,119,4905,28,30,187,177,33,40770,51,0,33,1050,3105,58,4,247,13,1917,428,3134,30,4,16,1407,14,20,6,35630
20-Aug-12,5244,11,424,73,1159,7,6,28,68696,4,387,0,194,6,12,39,85,15,157,3,2,3505,2489,2582,31,90,562,14879,560,1433,566,24343,33,232,18,4,52,21,5,36,17,81,2239,13,125,277,154,2,14,0,5,72,3,5,820,10,37,9,0,64,14394,0,182,865,104,4845,29,22,160,177,55,39782,35,0,136,895,3064,19,7,399,1,2763,802,3365,41,1,5,1213,14,16,2,34013
21-Aug-12,6551,10,448,60,1292,5,17,28,77016,11,637,0,330,6,19,42,4,6,119,6,4,3663,2867,2719,0,95,614,19990,692,1847,537,25883,19,357,20,9,51,24,6,158,8,52,2116,7,335,692,556,19,1,0,12,42,3,1,888,38,8,2,3,86,14946,1,469,984,135,3935,23,10,133,233,39,40890,40,0,104,2417,3019,54,6,416,0,2448,543,16418,58,2,20,1344,2,17,2,35891
